season,episode,scene,character,line
1,1,0,Adora,.
1,1,0,Adora,"Hey, princess, you looking at me?"
1,1,0,Other,"All squadrons, report to training area immediately for evaluation."
1,1,0,Adora,Psst. Anyone seen Catra?
1,1,0,Adora,Not again.
1,1,0,Other,"At attention, cadets. Your simulation is about to begin. Here's your scenario. You'll be passing through the treacherous Whispering Woods to reach the heart of the rebel insurgency, Bright Moon."
1,1,0,Other,Your mission is to defeat the Queen of the Princesses and liberate Bright Moon in Lord Hordak's name. Where's Catra?
1,1,0,Adora,She will be here. I promise.
1,1,0,Other,"Mm-hmm. The Whispering Woods is full of princesses.  Vicious, violent instigators. They will take you out if given the chance. Don't give it to them. Good luck, recruits."
1,1,0,Adora,Watch out!
1,1,0,Kyle,"Oh, no, no, no, no, no!"
1,1,0,Adora,"Come on, this way."
1,1,0,Kyle,"Aw, dang it!"
1,1,0,Adora,"Seriously, Kyle?"
1,1,0,Lonnie,Bra-vo.
1,1,0,Lonnie,"Seriously, Kyle?"
1,1,0,Adora,Run!
1,1,0,Lonnie,Adora!
1,1,0,Catra,"Hey, Adora. How's it hanging?"
1,1,0,Adora,"Catra. Did you really show up late and let us do all the hard parts? That is low, even for you."
1,1,0,Catra,"Aw. You know nothing's too low for me.. Now come on, you look stupid hanging down there."
1,1,0,Other,Training exercise successfully completed.
1,1,0,Catra,".  You should've seen your face. You were like, ""Aah, no! Betrayal."""
1,1,0,Adora,"Come on, Catra. We're senior cadets now. I can't believe you're still pulling such childish, immature-- Is that a mouse?!"
1,1,0,Catra,What!? Where!?
1,1,0,Adora,. Are you ever going to not fall for that?
1,1,0,Catra,I don't know. Are you ever going to let it go? That was one time.
1,1,0,Adora,"I know, but for some reason it's always funny."
1,1,0,Shadow Weaver,Adora.
1,1,0,Adora,Shadow Weaver.
1,1,0,Shadow Weaver,You have done well. You've completed your training course in record time.
1,1,0,Adora,"Uh, well, that wasn't just me. You know, Catra did, too."
1,1,0,Shadow Weaver,"Ah, yes. How someone as unmotivated as you completed the course in that time, I'll never know."
1,1,0,Catra,"Always serving up those pep talks, huh, Shadow Weaver?"
1,1,0,Shadow Weaver,"Silence. Do not be flippant with me, cadet."
1,1,0,Catra,Sorry Shadow Weaver.
1,1,0,Shadow Weaver,"Adora, walk with me."
1,1,0,Shadow Weaver,Adora.
1,1,1,Shadow Weaver,Lord Hordak has been watching you. He thinks you are a fine candidate for Force Captain.
1,1,1,Adora,Really? Force Captain? Lord Hordak said that about me?
1,1,1,Shadow Weaver,"Oh yes. He sees great promise in you. In fact, he has elected you the honor of leading a squadron in the invasion of the rebel Fortress of Thaymor."
1,1,1,Adora,Thaymor? You mean we're finally seeing active duty?
1,1,1,Shadow Weaver,You are seeing active duty.
1,1,1,Adora,"But I'll be able to bring my team along, right?"
1,1,1,Shadow Weaver,Your team is not ready. They'll only slow you down.
1,1,1,Adora,"Shadow Weaver, with respect, they've been training hard for this, too. And Catra, all she wants is to get out there and prove herself."
1,1,1,Shadow Weaver,"Then she should have worked harder to prove herself to me. This is what I raised you for, Adora. Now is your chance to prove yourself."
1,1,1,Shadow Weaver,I saw talent in you the moment I found you as an orphan child and took you in. Is this not what you've wanted since you were old enough to want anything?
1,1,1,Adora,Yes.
1,1,1,Shadow Weaver,"With you at the forefront, we will crush the Bright Moon Rebellion once and for all. Do not disappoint me."
1,1,2,Angella,Send her in.
